"yearlygross","released_year"
"2937170585",2009
"2755629221",2014
"2607757362",2018
"2595557425",2016
"2542616037",2012
"2490221882",2010
"2462336868",2015
"2406742688",2019
"2097818918",2001
"2061312852",2017
"1828105950",2008
"1487001821",2003
"1446650533",2004
"1285357197",2013
"1272712523",1999
"1269453836",1997
"1199286363",2006
"1192529311",1993
"1123918773",2002
"1092346139",2011
"1023769444",2005
"979398029",2007
"964019203",1995
"948004584",1994
"853366944",2000
"779902155",1991
"758288655",1990
"744371638",1982
"741187147",1992
"703272539",1989
"591451003",1998
"553306318",1980
"548776961",1973
"545550493",1988
"544759575",1979
"494028775",1977
"451752232",1985
"423406542",1975
"409526552",1987
"408628216",1983
"407003221",1967
"403339352",1986
"391398450",1981
"374043460",1984
"296520000",1974
"289936286",1965
"253909715",1964
"249822554",1976
"228489386",1996
"210352479",1939
"190809835",1972
"172068125",1971
"162565164",1968
"159158414",1969
"137498300",1959
"136079328",1978
"107020371",1960
"93740000",1956
"87974144",1962
"81610872",1940
"63620375",1970
"58195045",1957
"46645936",1954
"40654000",1946
"37028807",1963
"34607929",1966
"30500000",1953
"28874268",1952
"23007983",1958
"20136011",1951
"16246930",1948
"10900000",1961
"10080000",1944
"10000000",1933
"9460000",1945
"6897520",1935
"5500970",1925
"5450000",1921
"4360000",1934
"3981000",1938
"3693694",1941
"3270000",1930
"2650000",1947
"1775706",1927
"1033895",1926
"1024560",1942
"977375",1924
"711226",1955
"449191",1949
"172885",1937
"163245",1936
"106745",1950
"48058",1931
"21877",1928
